Datestamp,Active Student Cases,Total Student Cases,Active Staff Cases,Total Staff Cases,Quarantined Students,Quarantined Staff,Student Quarantine Factor,Staff Quarantine Factor,Change in Students Quarantined,% Change in Students Quarantined,% Students Quarantined,Change in Active Student Cases,% Change in Active Student Cases,% Students with Active Cases,Change in Total Student Cases,% Change in Total Student Cases,% of Students in Total Student Cases,Student Cases Resolved,Student Cases Newly Resolved,New Student Cases,Change in Staff Quarantined,% Change in Staff Quarantined,Change in Active Staff Cases,% Change in Active Staff Cases,Change in Total Staff Cases,% Change in Total Staff Cases,Staff Cases Resolved,Staff Cases Newly Resolved,New Staff Cases
2021-12-25,1163,3562,46,408,3457.0,71.0,2.9724849527085127,1.5434782608695652,94.0,2.7951234017246507,4.067058823529412,0,0.0,1.368235294117647,0,0.0,4.1905882352941175,2399,0,0,0.0,0.0,0,0.0,0,0.0,362,0,0
2021-12-27,993,3575,20,409,2882.0,43.0,2.902316213494461,2.15,-575.0,-16.632918715649406,3.3905882352941177,-170,-14.617368873602752,1.168235294117647,13,0.36496350364963503,4.205882352941177,2582,183,13,-28.0,-39.436619718309856,-26,-56.52173913043478,1,0.24509803921568626,389,27,1
2021-12-28,909,3593,43,442,2898.0,68.0,3.1881188118811883,1.5813953488372092,16.0,0.5551700208188758,3.409411764705882,-84,-8.459214501510575,1.0694117647058823,18,0.5034965034965035,4.227058823529411,2684,102,18,25.0,58.139534883720934,23,114.99999999999999,33,8.06845965770171,399,10,33
2021-12-29,810,3617,49,466,2483.0,75.0,3.065432098765432,1.530612244897959,-415.0,-14.320220841959971,2.9211764705882355,-99,-10.891089108910892,0.9529411764705882,24,0.6679654884497634,4.2552941176470584,2807,123,24,7.0,10.294117647058822,6,13.953488372093023,24,5.429864253393665,417,18,24
2021-12-30,668,3639,36,477,1875.0,49.0,2.80688622754491,1.3611111111111112,-608.0,-24.486508256141764,2.2058823529411766,-142,-17.530864197530864,0.7858823529411765,22,0.6082388719933647,4.281176470588235,2971,164,22,-26.0,-34.66666666666667,-13,-26.53061224489796,11,2.3605150214592276,441,24,11
2022-01-02,342,3799,71,582,1222.0,84.0,3.573099415204678,1.1830985915492958,-653.0,-34.82666666666667,1.4376470588235295,-326,-48.80239520958084,0.40235294117647064,160,4.396812311074471,4.469411764705882,3457,486,160,35.0,71.42857142857143,35,97.22222222222221,105,22.0125786163522,511,70,105
2022-01-03,143,3799,48,595,693.0,54.0,4.846153846153846,1.125,-529.0,-43.289689034369886,0.8152941176470588,-199,-58.187134502923975,0.16823529411764707,0,0.0,4.469411764705882,3656,199,0,-30.0,-35.714285714285715,-23,-32.3943661971831,13,2.2336769759450172,547,36,13
2022-01-04,55,3820,57,663,537.0,58.0,9.763636363636364,1.0175438596491229,-156.0,-22.51082251082251,0.6317647058823529,-88,-61.53846153846154,0.06470588235294118,21,0.5527770465912082,4.4941176470588236,3765,109,21,4.0,7.4074074074074066,9,18.75,68,11.428571428571429,606,59,68
2022-01-05,32,3882,89,711,502.0,90.0,15.6875,1.0112359550561798,-35.0,-6.517690875232775,0.5905882352941176,-23,-41.81818181818181,0.037647058823529415,62,1.6230366492146597,4.567058823529411,3850,85,62,32.0,55.172413793103445,32,56.14035087719298,48,7.239819004524888,622,16,48
2022-01-06,303,4170,95,755,741.0,96.0,2.4455445544554455,1.0105263157894737,239.0,47.60956175298805,0.871764705882353,271,846.875,0.3564705882352941,288,7.418856259659969,4.905882352941177,3867,17,288,6.0,6.666666666666667,6,6.741573033707865,44,6.188466947960619,660,38,44
